ENTIDAD,ENTIDAD_DEPARTAMENTO,ENTIDAD_PROVINCIA,ENTIDAD_DISTRITO,OBJETOCONTRACTUAL,SECTOR,TIPOENTIDADOEE,ITEM_DEPARTAMENTO,ITEM_PROVINCIA,ITEM_DISTRITO,MONTOADJUDICADOSOLES,CANTIDADADJUDICADA,TIPOPROVEEDOR,PROVEEDOR,DETALLEPROVEEDOR,RUBROS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',367500,5,'Persona Juridica','CORPORACION ALQA S.A.C.',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - DIRECCIÓN EJECUTIVA ANTIDROGAS',LIMA,LIMA,'LA VICTORIA',Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,'LA VICTORIA',174520,8000,'Persona Natural','LLAQUE OTERO MARCO ANTONIO',?,'PROD. ASEO Y LIMPIEZA'
'GOBIERNO REGIONAL DE LAMBAYEQUE - HOSPITAL REGIONAL DOCENTE LAS MERCEDES - CHICLAYO',LAMBAYEQUE,CHICLAYO,CHICLAYO,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',LAMBAYEQUE,CHICLAYO,CHICLAYO,84000,6000,'Persona Juridica','DISTRIBUIDORA GALUMA S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - X REGIÓN TERRITORIAL CUSCO',CUSCO,CUSCO,WANCHAQ,Bien,INTERIOR,'GOBIERNO NACIONAL',CUSCO,CUSCO,WANCHAQ,98880,49440,'Persona Juridica','MULTISERVICIOS IDEADOS S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',512100,5,'Persona Natural','CHUCHON PINEDA MARILYN KELLY',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',PIURA,PIURA,PIURA,494399.47,7,'Persona Natural','BARBA NOLE MILTON CESAR',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE CURAHUASI',APURIMAC,ABANCAY,CURAHUASI,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',APURIMAC,ABANCAY,CURAHUASI,90936,1,'Persona Natural','JURO HUAÑAC LUCILA',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE CURAHUASI',APURIMAC,ABANCAY,CURAHUASI,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',APURIMAC,ABANCAY,CURAHUASI,64100.7,1,'Persona Juridica','POTREROO S.A.C.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE CURAHUASI',APURIMAC,ABANCAY,CURAHUASI,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',APURIMAC,ABANCAY,CURAHUASI,44955.3,1,'Persona Natural','TICA MOLINA LISBETH CARLA',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',CUSCO,CUSCO,CUSCO,348300,5,'Persona Juridica','CONSORCIO ORION CUSCO S.R.L.',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',CUSCO,'LA CONVENCION','SANTA ANA',105300,5,'Persona Juridica','CORPORACION MAVALU E.I.R.L.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE ZEPITA',PUNO,CHUCUITO,ZEPITA,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',PUNO,CHUCUITO,ZEPITA,199968.8,4,'Persona Juridica','AGRO ANDINA DEL PERU SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - FRENTE PUNO',PUNO,PUNO,PUNO,Bien,INTERIOR,'GOBIERNO NACIONAL',PUNO,PUNO,PUNO,200000,50000,'Persona Juridica','SANTIMOR INVERSIONES EIRL',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - FRENTE PUNO',PUNO,PUNO,PUNO,Bien,INTERIOR,'GOBIERNO NACIONAL',PUNO,PUNO,PUNO,168000,11200,'Persona Natural','SOLANO SOSA MARTIN ERNESTO',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - FRENTE PUNO',PUNO,PUNO,PUNO,Bien,INTERIOR,'GOBIERNO NACIONAL',PUNO,PUNO,PUNO,53000,21200,'Persona Juridica','COMERCIALIZADORA MARGAGU E.I.R.L.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - FRENTE PUNO',PUNO,PUNO,PUNO,Bien,INTERIOR,'GOBIERNO NACIONAL',PUNO,PUNO,PUNO,56000,1600,'Persona Juridica','ESTRATEGIA VISUAL E.I.R.L.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - FRENTE PUNO',PUNO,PUNO,PUNO,Bien,INTERIOR,'GOBIERNO NACIONAL',PUNO,PUNO,PUNO,200000,50000,'Persona Natural','CAMPOS DE LA CRUZ IRIS DEL CARMEN',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL','SAN MARTIN','SAN MARTIN',MORALES,530700,1,'Persona Juridica','AZLO PRODUCCIONES SOCIEDAD ANONIMA CERRADA',?,ALIMENTOS
'GOBIERNO REGIONAL DE UCAYALI-HOSPITAL DE APOYO DE PUCALLPA',UCAYALI,'CORONEL PORTILLO',CALLERIA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',UCAYALI,'CORONEL PORTILLO',CALLERIA,218050,1,'Persona Natural','TREJO LUGO YUDY INES',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',571500,57150,'Persona Juridica','THAYA SRL.',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - DIRECCIÓN EJECUTIVA DE INVESTIGACIÓN CRIMINAL Y APOYO A LA JUSTICIA',LIMA,LIMA,LIMA,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,90000,300,'Persona Natural','ESQUIVEL TINOCO JESSICA LISSETH',?,'MATERIAL Y EQUIPO MEDICO'
'MUNICIPALIDAD DISTRITAL DE MADRE DE DIOS','MADRE DE DIOS',MANU,'MADRE DE DIOS',Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL','MADRE DE DIOS',MANU,'MADRE DE DIOS',49975.72,1,'Persona Natural','HUAMAN VILLA ROSMERY',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',AYACUCHO,HUAMANGA,'ANDRÉS AVELINO CÁCERES DORREGAY',452400,5,'Persona Juridica','CORPORACION CASAVERDE - GRUPO CR S.A.C.',?,ALIMENTOS
'GOBIERNO REGIONAL DE MOQUEGUA-SALUD',MOQUEGUA,'MARISCAL NIETO',MOQUEGUA,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',MOQUEGUA,'MARISCAL NIETO',MOQUEGUA,39760,5680,'Persona Natural','AVALOS COLANA ALFONSO JOSE',?,'PROD. ASEO Y LIMPIEZA'
'MUNICIPALIDAD DISTRITAL DE SAN MIGUEL PUNO',PUNO,'SAN ROMAN','SAN MIGUEL',Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',PUNO,'SAN ROMAN','SAN MIGUEL',177336.43,1,'Persona Juridica','IMPORTACIONES Y EXPORTACIONES \"TRAVEC\" S.A.C.',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - X REGIÓN TERRITORIAL CUSCO',CUSCO,CUSCO,WANCHAQ,Bien,INTERIOR,'GOBIERNO NACIONAL',CUSCO,CUSCO,WANCHAQ,67500,3000,'Persona Natural','ZARATE LOAYZA OTONIEL',?,'PROD. ASEO Y LIMPIEZA'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',PUNO,PUNO,PUNO,580500,5,'Persona Juridica','COMPANY SANDOVAL E.I.R.L.  - COMSA E.I.R.L.',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL','LA LIBERTAD',TRUJILLO,TRUJILLO,288300,1,'Persona Juridica','DISTRIBUIDORA DE GOLOSINAS Y ABARROTES ZOE S.A.C.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE PAMPAROMAS',ANCASH,HUAYLAS,PAMPAROMAS,Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',ANCASH,HUAYLAS,PAMPAROMAS,199929.03,1,'Persona Juridica','AGRO SERVICIOS Y PRODUCCION DE ALIMENTOS SAN JUAN DE PISCO S.R.L.',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,RIMAC,585900,1,'Persona Juridica','J & E INVERSIONES PACIFICO S.A.C.',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',JUNIN,CHANCHAMAYO,CHANCHAMAYO,287400,142700,'Persona Juridica','CORPORACION GV DEL PERU SOCIEDAD ANONIMA CERRADA',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',525000,1050000,'Persona Juridica','UTILITARIOS MEDICOS S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',113865.4,2836,'Persona Juridica','GOLDEN MEDICAL TECH S.A.C',?,'PROD. ASEO Y LIMPIEZA'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',54000,108,'Persona Juridica','PACIFICO SALUD SOCIEDAD ANONIMA CERRADA - PACIFICO SALUD S.A.C',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',674800,192800,'Persona Juridica','UTILITARIOS MEDICOS S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',1172500,335000,'Persona Juridica','VENTURY & ASOCIADOS S. A. C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',700000,200000,'Persona Natural','BARZOLA MENDOZA RAPHAEL HUMBERTO',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',1040200,297200,'Persona Natural','LANAO SALVATIERRA MICHEL ALEXIS',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',87500,25000,'Persona Juridica','GOLDEN MEDICAL TECH S.A.C',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',104000,4000,'Persona Juridica','UTILITARIOS MEDICOS S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',95000,5000,'Persona Juridica','UTILITARIOS MEDICOS S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LIMA,LIMA,'SAN BORJA',97324,3356,'Persona Juridica','IRIMED EIRL',?,'OTROS BIENES'
'POLICÍA NACIONAL DEL PERÚ - DIRECCIÓN EJECUTIVA DE INVESTIGACIÓN CRIMINAL Y APOYO A LA JUSTICIA',LIMA,LIMA,LIMA,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,416618,24306,'Persona Juridica','FIVE NETWORKS SOLUTIONS S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'MUNICIPALIDAD DISTRITAL DE SAN PEDRO - CANCHIS',CUSCO,CANCHIS,'SAN PEDRO',Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',CUSCO,CANCHIS,'SAN PEDRO',40000,1,'Persona Juridica','GRUPO EFSA E HIJOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE SAN LUIS - LIMA',LIMA,LIMA,'SAN LUIS',Servicio,'GOBIERNO LOCAL','GOBIERNO LOCAL',LIMA,LIMA,'SAN LUIS',132366,1103.05,'Persona Juridica','INTERASEO PERU S.A.C.',?,'LIMPIEZA Y FUMIGACIÓN'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LORETO,MAYNAS,IQUITOS,48720,2,'Persona Juridica','COMERCIALIZADORA LOS TULIPANES S.A.C.',?,ALIMENTOS
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LORETO,MAYNAS,IQUITOS,288903,5,'Persona Juridica','COMERCIALIZADORA SAN JUAN SAC',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,91200,2600,'Persona Juridica','GRUPO VALENCIA S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,87324.3,62748,'Persona Juridica','GRUPO VALENCIA S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,230256.9,94587,'Persona Juridica','GRUPO VALENCIA S.A.C.',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - XI DIRECCIÓN TERRITORIAL AREQUIPA',AREQUIPA,AREQUIPA,YANAHUARA,Bien,INTERIOR,'GOBIERNO NACIONAL',AREQUIPA,AREQUIPA,YANAHUARA,376488,83664,'Persona Juridica','SAKIMA E.I.R.L',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,390600,195300,'Persona Juridica','DISTRIBUIDORA ROAZUL S.R.L.',?,ALIMENTOS
'MUNICIPALIDAD DISTRITAL DE SAN JUAN DE SALINAS',PUNO,AZANGARO,'SAN JUAN DE SALINAS',Bien,'GOBIERNO LOCAL','GOBIERNO LOCAL',PUNO,AZANGARO,'SAN JUAN DE SALINAS',35305,1,'Persona Natural','MAMANI CALCINA HILDA JULIA',?,ALIMENTOS
'GOBIERNO REGIONAL DE LIMA - HOSPITAL HUACHO-HUAURA-OYON Y SERVICIOS  BASICOS  DE  SALUD',LIMA,HUAURA,HUACHO,Bien,'GOBIERNO REGIONAL','GOBIERNO REGIONAL',LIMA,HUAURA,HUACHO,55900,2795,'Persona Juridica','ROKER PERU SA',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - X REGIÓN TERRITORIAL CUSCO',CUSCO,CUSCO,WANCHAQ,Bien,INTERIOR,'GOBIERNO NACIONAL',CUSCO,CUSCO,WANCHAQ,214240,57680,'Persona Natural','QUISPE NINANTAY GABRIELA MILAGROS',?,'OTROS BIENES'
'POLICÍA NACIONAL DEL PERÚ - REGIÓN AYACUCHO - ICA',AYACUCHO,HUAMANGA,AYACUCHO,Bien,INTERIOR,'GOBIERNO NACIONAL',AYACUCHO,HUAMANGA,AYACUCHO,54000,90,'Persona Natural','AGUERO CCENHUA JHOSELIN JULIET',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - REGIÓN LORETO',LORETO,MAYNAS,IQUITOS,Bien,INTERIOR,'GOBIERNO NACIONAL',LORETO,MAYNAS,IQUITOS,399206.8,1,'Persona Juridica','INVERSIONES ANTONELA S.A.C.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL','MADRE DE DIOS',TAMBOPATA,TAMBOPATA,197400,98700,'Persona Juridica','CORPORACION ALQA S.A.C.',?,ALIMENTOS
'POLICÍA NACIONAL DEL PERÚ - REGIÓN AYACUCHO - ICA',AYACUCHO,HUAMANGA,AYACUCHO,Bien,INTERIOR,'GOBIERNO NACIONAL',AYACUCHO,HUAMANGA,AYACUCHO,47360,1,'Persona Juridica','LUKAT CONTRATISTAS GENERALES E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - REGIÓN AYACUCHO - ICA',AYACUCHO,HUAMANGA,AYACUCHO,Bien,INTERIOR,'GOBIERNO NACIONAL',AYACUCHO,HUAMANGA,AYACUCHO,49085,1,'Persona Natural','GUEVARA ALARCON LUSCIOLA',?,'PROD. ASEO Y LIMPIEZA'
'POLICÍA NACIONAL DEL PERÚ - JEFATURA DE LA VII REGIÓN LIMA',LIMA,LIMA,LIMA,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,72925,1,'Persona Juridica','CORPORACION ALME E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - JEFATURA DE LA VII REGIÓN LIMA',LIMA,LIMA,LIMA,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,203880,1,'Persona Juridica','UNIFORM SNIPER E.I.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - JEFATURA DE LA VII REGIÓN LIMA',LIMA,LIMA,LIMA,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,641130,1,'Persona Natural','ESQUEN GUMER ANYA MILAGROS',?,'MATERIAL Y EQUIPO MEDICO'
'POLICÍA NACIONAL DEL PERÚ - JEFATURA DE LA VII REGIÓN LIMA',LIMA,LIMA,LIMA,Bien,INTERIOR,'GOBIERNO NACIONAL',LIMA,LIMA,LIMA,386400,1,'Persona Juridica','DMA SERVICIOS S.R.L.',?,'MATERIAL Y EQUIPO MEDICO'
'EJERCITO PERUANO',LIMA,LIMA,'SAN BORJA',Bien,DEFENSA,'GOBIERNO NACIONAL',TACNA,'JORGE BASADRE',ITE,298500,298500,'Persona Natural','GARCIA RUIZ FLOR BLANCA',?,ALIMENTOS
